Word	POS	Entity_Value_Time	Event	Modality	Tense	Polarity	ID_Event	Argument
روابط		O	O	O	O	O	O	
کشورهای		O	O	O	O	O	O	
منطقه		O	O	O	O	O	O	
کمک		O	(B_Aid, EV_26_30065_226)	Asserted	Future	Positive	EV_26_30065_226	
کنند		O	(I_Aid, EV_26_30065_226)	O	O	O	EV_26_30065_226	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2624">	begin	O	O	O	O	O	O	O
سرپرست		(B_Person, EN_26_15794_15)	O	O	O	O	O	
فرمانداری		(I_Person, EN_26_15794_15)	O	O	O	O	O	
بوکان		(I_Person, EN_26_15794_15)	O	O	O	O	O	
:		(I_Person, EN_26_15794_15)	O	O	O	O	O	
بوکان		(B_Person, EN_26_15798_15)	O	O	O	O	O	
از		O	O	O	O	O	O	
منظر		O	O	O	O	O	O	
آسیب‌های		O	O	O	O	O	O	
اجتماعی		O	O	O	O	O	O	
در		O	O	O	O	O	O	
استان		(B_Location, EN_26_15799_14)	O	O	O	O	O	
چهارم		O	O	O	O	O	O	
است		O	O	O	O	O	O	
بوکان		O	O	O	O	O	O	
از		O	O	O	O	O	O	
منظر		O	O	O	O	O	O	
آسیب‌های		O	O	O	O	O	O	
اجتماعی		O	O	O	O	O	O	
در		O	O	O	O	O	O	
استان		O	O	O	O	O	O	
چهارم		O	O	O	O	O	O	
است		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2625">	begin	O	O	O	O	O	O	O
طی		O	O	O	O	O	O	
احکام		O	O	O	O	O	O	
جداگانه‌ای		O	O	O	O	O	O	
صورت		O	O	O	O	O	O	
گرفت		O	O	O	O	O	O	
؛		O	O	O	O	O	O	
انتصاب		O	(B_Start-Position, EV_26_3668_208)	Asserted	Past	Positive	EV_26_3668_208	
بخشداران		(B_Person, EN_26_15806_15)	O	O	O	O	O	(B_Target,EV_26_3668_208,EN_26_15806_15)
و		O	O	O	O	O	O	
معاونان		(B_Person, EN_26_15807_15)	O	O	O	O	O	(B_Target,EV_26_3668_208,EN_26_15807_15)
حوزه		(I_Person, EN_26_15807_15)	O	O	O	O	O	(I_Target,EV_26_3668_208,EN_26_15807_15)
فرمانداری		(I_Person, EN_26_15807_15)	O	O	O	O	O	(I_Target,EV_26_3668_208,EN_26_15807_15)
شهرستان		(I_Person, EN_26_15807_15)	O	O	O	O	O	(I_Target,EV_26_3668_208,EN_26_15807_15)
قروه		(I_Person, EN_26_15807_15)	O	O	O	O	O	(I_Target,EV_26_3668_208,EN_26_15807_15)
انتصاب		O	O	O	O	O	O	
بخشداران		O	O	O	O	O	O	
و		O	O	O	O	O	O	
معاونان		O	O	O	O	O	O	
حوزه		O	O	O	O	O	O	
فرمانداری		O	O	O	O	O	O	
شهرستان		O	O	O	O	O	O	
قروه		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2626">	begin	O	O	O	O	O	O	O
گوگل		(B_Organization, EN_26_105874_12)	O	O	O	O	O	
در		O	O	O	O	O	O	
یک		(B_Numeric, EN_26_105875_19)	O	O	O	O	O	
حرکت		O	O	O	O	O	O	
ناباورانه		O	O	O	O	O	O	
،		O	O	O	O	O	O	
واحد		O	O	O	O	O	O	
سازنده		(B_Person, EN_26_105881_15)	O	O	O	O	O	
موبایل		(I_Person, EN_26_105881_15)	O	O	O	O	O	
خود		(I_Person, EN_26_105881_15)	O	O	O	O	O	
،		O	O	O	O	O	O	
«		(B_Organization, EN_26_105876_12)	O	O	O	O	O	
موتورولا		(I_Organization, EN_26_105876_12)	O	O	O	O	O	
موبیلیتی		(I_Organization, EN_26_105876_12)	O	O	O	O	O	
»		(I_Organization, EN_26_105876_12)	O	O	O	O	O	
را		O	O	O	O	O	O	
به		O	O	O	O	O	O	
شرکت		(B_Organization, EN_26_15814_12)	O	O	O	O	O	
چینی		(I_Organization, EN_26_15814_12)	O	O	O	O	O	
لنوو		(I_Organization, EN_26_15814_12)	O	O	O	O	O	
به		O	O	O	O	O	O	
قیمت		O	O	O	O	O	O	
۲		(B_Numeric, EN_26_105880_19)	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2627">	begin	O	O	O	O	O	O	O
مدیرعامل		(B_Person, EN_26_15817_15)	O	O	O	O	O	
شرکت		(I_Person, EN_26_15817_15)	O	O	O	O	O	
ملی		(I_Person, EN_26_15817_15)	O	O	O	O	O	
صنایع		(I_Person, EN_26_15817_15)	O	O	O	O	O	
مس		(I_Person, EN_26_15817_15)	O	O	O	O	O	
ایران		(I_Person, EN_26_15817_15)	O	O	O	O	O	
:		(I_Person, EN_26_15817_15)	O	O	O	O	O	
انتقال		O	(B_Ownership Transfer, EV_26_3695_212)	Asserted	Unspecified	Positive	EV_26_3695_212	
20		(B_Numeric, EN_26_15824_19)	O	O	O	O	O	(B_Price,EV_26_3695_212,EN_26_15824_19)
درصد		(I_Numeric, EN_26_15824_19)	O	O	O	O	O	(I_Price,EV_26_3695_212,EN_26_15824_19)
از		O	O	O	O	O	O	
فضای		O	O	O	O	O	O	
وارداتی		O	O	O	O	O	O	
ترکیه		(B_Geo-Political Entity, EN_26_15826_13)	O	O	O	O	O	(B_Source,EV_26_3695_212,EN_26_15826_13)
به		O	O	O	O	O	O	
آذربایجان‌شرقی		(B_Location, EN_26_15827_14)	O	O	O	O	O	(B_Target,EV_26_3695_212,EN_26_15827_14)
،		O	O	O	O	O	O	
جزو		O	O	O	O	O	O	
اهداف		O	O	O	O	O	O	
اصلی		O	O	O	O	O	O	
مس		(B_Organization, EN_26_15899_12)	O	O	O	O	O	(B_Place,EV_26_3695_212,EN_26_15899_12)
ایران		(I_Organization, EN_26_15899_12)	O	O	O	O	O	(I_Place,EV_26_3695_212,EN_26_15899_12)
است		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2628">	begin	O	O	O	O	O	O	O
مراسم		O	(B_Ceremony, EV_26_3683_255)	Asserted	Past	Positive	EV_26_3683_255	
افتتاحیه		O	(I_Ceremony, EV_26_3683_255)	O	O	O	EV_26_3683_255	
نخستین		O	(I_Ceremony, EV_26_3683_255)	O	O	O	EV_26_3683_255	
دوره		O	(I_Ceremony, EV_26_3683_255)	O	O	O	EV_26_3683_255	
بازی‌های		O	(I_Ceremony, EV_26_3683_255)	O	O	O	EV_26_3683_255	
جهانی		O	(I_Ceremony, EV_26_3683_255)	O	O	O	EV_26_3683_255	
ساحلی		O	(I_Ceremony, EV_26_3683_255)	O	O	O	EV_26_3683_255	
در		O	O	O	O	O	O	
دوحه		(B_Location, EN_26_15869_14)	O	O	O	O	O	(B_Place,EV_26_3683_255,EN_26_15869_14)(B_Place,EV_26_50381_255,EN_26_15869_14)
قطر		(I_Location, EN_26_15869_14)	O	O	O	O	O	(I_Place,EV_26_3683_255,EN_26_15869_14)(I_Place,EV_26_50381_255,EN_26_15869_14)
برگزار		O	O	O	O	O	O	
شد		O	O	O	O	O	O	
؛		O	O	O	O	O	O	
رژه		O	(B_Ceremony, EV_26_50381_255)	Asserted	Past	Positive	EV_26_50381_255	
کوتاه		O	(I_Ceremony, EV_26_50381_255)	O	O	O	EV_26_50381_255	
و		O	(I_Ceremony, EV_26_50381_255)	O	O	O	EV_26_50381_255	
بدون		O	(I_Ceremony, EV_26_50381_255)	O	O	O	EV_26_50381_255	
پرچم		O	(I_Ceremony, EV_26_50381_255)	O	O	O	EV_26_50381_255	
سفرا		(B_Person, EN_26_15874_15)	O	O	O	O	O	(B_Participant,EV_26_3683_255,EN_26_15874_15)(B_Participant,EV_26_50381_255,EN_26_15874_15)
و		O	O	O	O	O	O	
نمایندگان		(B_Person, EN_26_15886_15)	O	O	O	O	O	(B_Participant,EV_26_3683_255,EN_26_15886_15)(B_Participant,EV_26_50381_255,EN_26_15886_15)
کشورها		(I_Person, EN_26_15886_15)	O	O	O	O	O	(I_Participant,EV_26_3683_255,EN_26_15886_15)(I_Participant,EV_26_50381_255,EN_26_15886_15)
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2632">	begin	O	O	O	O	O	O	O
معاون		(B_Person, EN_26_15891_15)	O	O	O	O	O	
اجتماعی		(I_Person, EN_26_15891_15)	O	O	O	O	O	
و		(I_Person, EN_26_15891_15)	O	O	O	O	O	
پیشگیری		(I_Person, EN_26_15891_15)	O	O	O	O	O	
از		(I_Person, EN_26_15891_15)	O	O	O	O	O	
جرم		(I_Person, EN_26_15891_15)	O	O	O	O	O	
دادگستری		(I_Person, EN_26_15891_15)	O	O	O	O	O	
یزد		(I_Person, EN_26_15891_15)	O	O	O	O	O	
اعلام		O	O	O	O	O	O	
کرد		O	O	O	O	O	O	
:		O	O	O	O	O	O	
کلاهبرداری‌های		O	(B_Economic corruption, EV_26_30117_177)	Asserted	Past	Positive	EV_26_30117_177	
اینترنتی		O	(I_Economic corruption, EV_26_30117_177)	O	O	O	EV_26_30117_177	
برنده		O	O	O	O	O	O	
شدن		O	O	O	O	O	O	
در		O	O	O	O	O	O	
مسابقات		O	(B_Ceremony, EV_26_30119_255)	Asserted	Past	Positive	EV_26_30119_255	
،		O	O	O	O	O	O	
بیشترین		O	O	O	O	O	O	
پرونده		(B_Facility, EN_26_105884_17)	O	O	O	O	O	
جرایم		(I_Facility, EN_26_105884_17)	O	O	O	O	O	
فضای		(I_Facility, EN_26_105884_17)	O	O	O	O	O	
مجازی		(I_Facility, EN_26_105884_17)	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2635">	begin	O	O	O	O	O	O	O
مهلت		O	O	O	O	O	O	
استعفا		O	O	O	O	O	O	
از		O	O	O	O	O	O	
مسئولیت‌های		O	O	O	O	O	O	
دولتی		O	O	O	O	O	O	
برای		O	O	O	O	O	O	
نامزدی		O	O	O	O	O	O	
مجلس		O	O	O	O	O	O	
آغاز		O	O	O	O	O	O	
شد		O	O	O	O	O	O	
پ		O	O	O	O	O	O	
مهلت		O	O	O	O	O	O	
استعفا		O	O	O	O	O	O	
از		O	O	O	O	O	O	
مسئولیت‌های		O	O	O	O	O	O	
دولتی		O	O	O	O	O	O	
برای		O	O	O	O	O	O	
نامزدی		O	O	O	O	O	O	
مجلس		O	O	O	O	O	O	
آغاز		O	O	O	O	O	O	
شد		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2636">	begin	O	O	O	O	O	O	O
مهم‌ترین		O	O	O	O	O	O	
رویدادهای		O	O	O	O	O	O	
امروز		O	O	O	O	O	O	
دنیای		O	O	O	O	O	O	
IT		O	O	O	O	O	O	
و		O	O	O	O	O	O	
تکنولوژی		O	O	O	O	O	O	
؛		O	O	O	O	O	O	
از		O	O	O	O	O	O	
تزلزل		O	O	O	O	O	O	
جایگاه		O	O	O	O	O	O	
ایالات		O	O	O	O	O	O	
متحده		O	O	O	O	O	O	
در		O	O	O	O	O	O	
حوزه		O	O	O	O	O	O	
فناوری		O	O	O	O	O	O	
تا		O	O	O	O	O	O	
شکایت		O	(B_Complaint, EV_26_3791_183)	Asserted	Now	Positive	EV_26_3791_183	
تسلا		(B_Organization, EN_26_16364_12)	O	O	O	O	O	(B_Source,EV_26_3791_183,EN_26_16364_12)
از		O	O	O	O	O	O	
جاسوسان		(B_Person, EN_26_16355_15)	O	O	O	O	O	(B_Target,EV_26_3791_183,EN_26_16355_15)
داخلی		(I_Person, EN_26_16355_15)	O	O	O	O	O	(I_Target,EV_26_3791_183,EN_26_16355_15)
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2638">	begin	O	O	O	O	O	O	O
موج‌سواری		O	O	O	O	O	O	
ضد		O	O	O	O	O	O	
وطنی		O	O	O	O	O	O	
صدف		(B_Person, EN_26_15923_15)	O	O	O	O	O	(B_Source,EV_26_30114_246,EN_26_15923_15)
خادم		(I_Person, EN_26_15923_15)	O	O	O	O	O	(I_Source,EV_26_30114_246,EN_26_15923_15)
و		O	O	O	O	O	O	
مربی‌اش		(B_Person, EN_26_15925_15)	O	O	O	O	O	(B_Source,EV_26_30114_246,EN_26_15925_15)
فقط		O	O	O	O	O	O	
برای		O	O	O	O	O	O	
پناهندگی		O	(B_Refuge, EV_26_30114_246)	Asserted	Unspecified	Positive	EV_26_30114_246	
؟		O	O	O	O	O	O	
«		(B_Person, EN_26_15926_15)	O	O	O	O	O	
منشی		(I_Person, EN_26_15926_15)	O	O	O	O	O	
پور		(I_Person, EN_26_15926_15)	O	O	O	O	O	
»		(I_Person, EN_26_15926_15)	O	O	O	O	O	
:		O	O	O	O	O	O	
دست		O	O	O	O	O	O	
به		O	O	O	O	O	O	
خادم		(B_Person, EN_26_105872_15)	O	O	O	O	O	
بزنند		O	O	O	O	O	O	
از		O	O	O	O	O	O	
ماکرون		(B_Person, EN_26_105873_15)	O	O	O	O	O	
می‌خواهم		O	O	O	O	O	O	
اقدام		O	O	O	O	O	O	
کند		O	O	O	O	O	O	
!		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2642">	begin	O	O	O	O	O	O	O
نه		O	O	O	O	O	O	
به		O	O	O	O	O	O	
جنگ		O	(B_War, EV_26_3700_164)	Asserted	Past	Negative	EV_26_3700_164	
وزیر		(B_Person, EN_26_15933_15)	O	O	O	O	O	(B_Source,EV_26_3700_164,EN_26_15933_15)(B_Source,EV_26_3701_164,EN_26_15933_15)
خارجه		(I_Person, EN_26_15933_15)	O	O	O	O	O	(I_Source,EV_26_3700_164,EN_26_15933_15)(I_Source,EV_26_3701_164,EN_26_15933_15)
آلمان		(I_Person, EN_26_15933_15)	O	O	O	O	O	(I_Source,EV_26_3700_164,EN_26_15933_15)(I_Source,EV_26_3701_164,EN_26_15933_15)
در		O	O	O	O	O	O	
عراق		(B_Location, EN_26_15936_14)	O	O	O	O	O	(B_Place,EV_26_3700_164,EN_26_15936_14)(B_Place,EV_26_3701_164,EN_26_15936_14)
نسبت		O	O	O	O	O	O	
به		O	O	O	O	O	O	
حمله		O	(B_Attack, EV_26_3701_164)	Asserted	Past	Positive	EV_26_3701_164	
نظامی		O	O	O	O	O	O	
به		O	O	O	O	O	O	
ایران		(B_Geo-Political Entity, EN_26_15937_13)	O	O	O	O	O	(B_Target,EV_26_3701_164,EN_26_15937_13)
هشدار		O	O	O	O	O	O	
داد		O	O	O	O	O	O	
آرشیو		O	O	O	O	O	O	
موضوع		O	O	O	O	O	O	
:		O	O	O	O	O	O	
فعالین		O	O	O	O	O	O	
حقوق		O	O	O	O	O	O	
بشر		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2643">	begin	O	O	O	O	O	O	O
نیروهای		(B_Person, EN_26_15940_15)	O	O	O	O	O	(B_Source,EV_26_3702_184,EN_26_15940_15)
داعش		(I_Person, EN_26_15940_15)	O	O	O	O	O	(I_Source,EV_26_3702_184,EN_26_15940_15)
۱۷۵		(B_Person, EN_26_15942_15)	O	O	O	O	O	(B_Number of Targets,EV_26_3702_184,EN_26_15942_15)
کارگر		(I_Person, EN_26_15942_15)	O	O	O	O	O	(I_Number of Targets,EV_26_3702_184,EN_26_15942_15)
را		O	O	O	O	O	O	
از		O	O	O	O	O	O	
یک		O	O	O	O	O	O	
کارحانهٔ		(B_Location, EN_26_15944_14)	O	O	O	O	O	(B_Place,EV_26_3702_184,EN_26_15944_14)
سیمان‌سازی		(I_Location, EN_26_15944_14)	O	O	O	O	O	(I_Place,EV_26_3702_184,EN_26_15944_14)
در		O	O	O	O	O	O	
الضمیر		(B_Location, EN_26_15946_14)	O	O	O	O	O	(B_Place,EV_26_3702_184,EN_26_15946_14)
به		O	O	O	O	O	O	
اسارت		O	(B_Arrest, EV_26_3702_184)	Asserted	Past	Positive	EV_26_3702_184	
گرفته		O	(I_Arrest, EV_26_3702_184)	O	O	O	EV_26_3702_184	
و		O	O	O	O	O	O	
خبری		O	O	O	O	O	O	
از		O	O	O	O	O	O	
آنان		O	O	O	O	O	O	
در		O	O	O	O	O	O	
دست		O	O	O	O	O	O	
نیست		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2645">	begin	O	O	O	O	O	O	O
وزیر		(B_Person, EN_26_15959_15)	O	O	O	O	O	(B_Participant,EV_26_3709_232,EN_26_15959_15)
صنعت		(I_Person, EN_26_15959_15)	O	O	O	O	O	(I_Participant,EV_26_3709_232,EN_26_15959_15)
،		(I_Person, EN_26_15959_15)	O	O	O	O	O	(I_Participant,EV_26_3709_232,EN_26_15959_15)
معدن		(I_Person, EN_26_15959_15)	O	O	O	O	O	(I_Participant,EV_26_3709_232,EN_26_15959_15)
و		(I_Person, EN_26_15959_15)	O	O	O	O	O	(I_Participant,EV_26_3709_232,EN_26_15959_15)
تجارت		(I_Person, EN_26_15959_15)	O	O	O	O	O	(I_Participant,EV_26_3709_232,EN_26_15959_15)
در		O	O	O	O	O	O	
جلسه		O	(B_Meeting, EV_26_3709_232)	Asserted	Past	Positive	EV_26_3709_232	
شورای		(B_Organization, EN_26_15968_12)	O	O	O	O	O	(B_Participant,EV_26_3709_232,EN_26_15968_12)
گفت‌وگوی		(I_Organization, EN_26_15968_12)	O	O	O	O	O	(I_Participant,EV_26_3709_232,EN_26_15968_12)
کرمانشاه		(I_Organization, EN_26_15968_12)	O	O	O	O	O	(I_Participant,EV_26_3709_232,EN_26_15968_12)
افزایش		O	(B_Production Rise, EV_26_3705_219)	Asserted	Past	Positive	EV_26_3705_219	
تولید		O	(I_Production Rise, EV_26_3705_219)	O	O	O	EV_26_3705_219	
خودرو		(B_Facility, EN_26_15966_17)	O	O	O	O	O	(B_Participant,EV_26_3705_219,EN_26_15966_17)
از		O	O	O	O	O	O	
ماه‌های		(B_Time, EN_26_15976_18)	O	O	O	O	O	(B_Time,EV_26_3705_219,EN_26_15976_18)
پایانی		(I_Time, EN_26_15976_18)	O	O	O	O	O	(I_Time,EV_26_3705_219,EN_26_15976_18)
سال		(I_Time, EN_26_15976_18)	O	O	O	O	O	(I_Time,EV_26_3705_219,EN_26_15976_18)
گذشته		(I_Time, EN_26_15976_18)	O	O	O	O	O	(I_Time,EV_26_3705_219,EN_26_15976_18)
آغاز		O	O	O	O	O	O	
شده		O	O	O	O	O	O	
است		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2647">	begin	O	O	O	O	O	O	O
«		(B_Person, EN_26_15980_15)	O	O	O	O	O	(B_Source,EV_26_50386_221,EN_26_15980_15)
بنی		(I_Person, EN_26_15980_15)	O	O	O	O	O	(I_Source,EV_26_50386_221,EN_26_15980_15)
گانتز		(I_Person, EN_26_15980_15)	O	O	O	O	O	(I_Source,EV_26_50386_221,EN_26_15980_15)
»		(I_Person, EN_26_15980_15)	O	O	O	O	O	(I_Source,EV_26_50386_221,EN_26_15980_15)
رسما		O	O	O	O	O	O	
به		O	O	O	O	O	O	
ناکامی		O	O	O	O	O	O	
در		O	O	O	O	O	O	
تشکیل		O	(B_Establishment, EV_26_50386_221)	Asserted	Now	Positive	EV_26_50386_221	
کابینه		(B_Organization, EN_26_173076_12)	O	O	O	O	O	(B_Target,EV_26_50386_221,EN_26_173076_12)
اعتراف		O	O	O	O	O	O	
کرد		O	O	O	O	O	O	
«		O	O	O	O	O	O	
بنی		O	O	O	O	O	O	
گانتز		O	O	O	O	O	O	
»		O	O	O	O	O	O	
رسما		O	O	O	O	O	O	
به		O	O	O	O	O	O	
ناکامی		O	O	O	O	O	O	
در		O	O	O	O	O	O	
تشکیل		O	O	O	O	O	O	
کابینه		O	O	O	O	O	O	
اعتراف		O	O	O	O	O	O	
کرد		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2648">	begin	O	O	O	O	O	O	O
10		(B_Person, EN_26_15984_15)	O	O	O	O	O	
هزار		(I_Person, EN_26_15984_15)	O	O	O	O	O	
زوج		(I_Person, EN_26_15984_15)	O	O	O	O	O	
خراسانی		(I_Person, EN_26_15984_15)	O	O	O	O	O	
در		O	O	O	O	O	O	
کارگاه‌های		(B_Location, EN_26_15988_14)	O	O	O	O	O	
آموزشی		(I_Location, EN_26_15988_14)	O	O	O	O	O	
ازدواج		(I_Location, EN_26_15988_14)	O	O	O	O	O	
شرکت		O	O	O	O	O	O	
کردند		O	O	O	O	O	O	
10		O	O	O	O	O	O	
هزار		O	O	O	O	O	O	
زوج		O	O	O	O	O	O	
خراسانی		O	O	O	O	O	O	
در		O	O	O	O	O	O	
کارگاه‌های		O	O	O	O	O	O	
آموزشی		O	O	O	O	O	O	
ازدواج		O	O	O	O	O	O	
شرکت		O	O	O	O	O	O	
کردند		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2649">	begin	O	O	O	O	O	O	O
118		(B_Numeric, EN_26_16006_19)	O	O	O	O	O	(B_Number of Targets,EV_26_3713_267,EN_26_16006_19)
هزار		(I_Numeric, EN_26_16006_19)	O	O	O	O	O	(I_Number of Targets,EV_26_3713_267,EN_26_16006_19)
قلم		(I_Numeric, EN_26_16006_19)	O	O	O	O	O	(I_Number of Targets,EV_26_3713_267,EN_26_16006_19)
داروی		(B_Facility, EN_26_16009_17)	O	O	O	O	O	(B_Target,EV_26_3713_267,EN_26_16009_17)
قاچاق		(I_Facility, EN_26_16009_17)	O	O	O	O	O	(I_Target,EV_26_3713_267,EN_26_16009_17)
در		O	O	O	O	O	O	
مرز		(B_Location, EN_26_16000_14)	O	O	O	O	O	(B_Place,EV_26_3713_267,EN_26_16000_14)
تایباد		(I_Location, EN_26_16000_14)	O	O	O	O	O	(I_Place,EV_26_3713_267,EN_26_16000_14)
کشف		O	(B_Discovery, EV_26_3713_267)	Asserted	Past	Positive	EV_26_3713_267	
شد		O	(I_Discovery, EV_26_3713_267)	O	O	O	EV_26_3713_267	
118		O	O	O	O	O	O	
هزار		O	O	O	O	O	O	
قلم		O	O	O	O	O	O	
داروی		O	O	O	O	O	O	
قاچاق		O	O	O	O	O	O	
در		O	O	O	O	O	O	
مرز		O	O	O	O	O	O	
تایباد		O	O	O	O	O	O	
کشف		O	O	O	O	O	O	
شد		O	O	O	O	O	O	
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2651">	begin	O	O	O	O	O	O	O
9		(B_Numeric, EN_26_173078_19)	O	O	O	O	O	(B_Number of Participants,EV_26_50389_172,EN_26_173078_19)(B_Number of Deaths,EV_26_3818_164,EN_26_173078_19)
کشته		O	(B_Death, EV_26_50389_172)	Asserted	Past	Positive	EV_26_50389_172	
در		O	O	O	O	O	O	
حمله		O	(B_Attack, EV_26_3818_164)	Asserted	Past	Positive	EV_26_3818_164	
هوایی		O	O	O	O	O	O	
ائتلاف		(B_Organization, EN_26_16438_12)	O	O	O	O	O	(B_Source,EV_26_3818_164,EN_26_16438_12)
سعودی		(I_Organization, EN_26_16438_12)	O	O	O	O	O	(I_Source,EV_26_3818_164,EN_26_16438_12)
به		O	O	O	O	O	O	
شمال‌غرب		(B_Location, EN_26_16440_14)	O	O	O	O	O	(B_Place,EV_26_3818_164,EN_26_16440_14)(B_Place,EV_26_50389_172,EN_26_16440_14)
یمن		(I_Location, EN_26_16440_14)	O	O	O	O	O	(I_Place,EV_26_3818_164,EN_26_16440_14)(I_Place,EV_26_50389_172,EN_26_16440_14)
</s>	end	O	O	O	O	O	O	O
								
								
<s id="2652">	begin	O	O	O	O	O	O	O
از		O	O	O	O	O	O	
درون		O	O	O	O	O	O	
تجمع		O	(B_Protest, EV_26_3794_270)	Asserted	Unspecified	Positive	EV_26_3794_270	
انتخاباتی		O	O	O	O	O	O	
ترامپ		(B_Person, EN_26_16365_15)	O	O	O	O	O	(B_Target,EV_26_3794_270,EN_26_16365_15)
؛		O	O	O	O	O	O	
نفرت		O	O	O	O	O	O	
،		O	O	O	O	O	O	
خشونت		O	O	O	O	O	O	
